spa,7.071428571,6.9775747505000005,0.09385382049999969
#spa,6.88372093,6.9775747505000005,0.09385382050000057
#backpacker,5.925,6.12034774425,0.19534774425000023
backpacker,6.342105263,6.12034774425,0.2217575187499996
backpackers,6.19047619,6.12034774425,0.07012844574999999
#backpackers,6.023809524,6.12034774425,0.09653822025000025
party,7.30952381,7.0714285715,0.2380952384999997
#party,6.833333333,7.0714285715,0.23809523850000058
alaska,6.904761905,6.867015099,0.037746806000000355
#alaska,6.829268293,6.867015099,0.037746805999999467
starts,6.476190476,6.7857142855,0.3095238094999999
start,7.095238095,6.7857142855,0.3095238094999999
poland,5.880952381,5.4869878185,0.3939645624999999
#poland,5.093023256,5.4869878185,0.3939645624999999
products,5.738095238,5.3177655675,0.42032967049999925
product,4.897435897,5.3177655675,0.42032967050000014
trains,6.619047619,6.523233305333334,0.09581431366666582
train,6.511627907,6.523233305333334,0.011605398333333738
#train,6.43902439,6.523233305333334,0.08420891533333386
#greek,6.175,6.228525641,0.053525641000000235
greek,6.282051282,6.228525641,0.053525641000000235
indonesia,4.7,4.7785714285,0.0785714285000001
#indonesia,4.857142857,4.7785714285,0.0785714285000001
lot,5.05,5.6957317075,0.6457317075000004
lots,6.341463415,5.6957317075,0.6457317074999995
safari,7.15,6.8845238095,0.26547619050000026
#safari,6.619047619,6.8845238095,0.26547619050000026
shot,3.125,3.8764534885,0.7514534885000002
shots,4.627906977,3.8764534885,0.7514534885000002
eyes,5.675,5.5160714285,0.15892857149999973
eye,5.357142857,5.5160714285,0.15892857149999973
#backpack,6.225,6.3218023255,0.09680232550000056
backpack,6.418604651,6.3218023255,0.09680232549999968
sunset,8.0,7.968253968333333,0.031746031666666674
sunsets,8.30952381,7.968253968333333,0.34126984166666663
#sunset,7.595238095,7.968253968333333,0.3730158733333333
budget,4.023255814,3.7735326689999997,0.24972314499999992
#budget,3.523809524,3.7735326689999997,0.24972314499999992
follow,5.11627907,5.1735241505000005,0.057245080500000434
#follow,5.230769231,5.1735241505000005,0.057245080499999546
offer,6.558139535,6.689326178,0.13118664300000038
offers,6.820512821,6.689326178,0.13118664300000038
wanderlust,7.146341463,6.7303135885,0.4160278745000001
#wanderlust,6.314285714,6.7303135885,0.41602787449999923
minutes,4.418604651,4.6627906975,0.2441860465000003
minute,4.906976744,4.6627906975,0.24418604649999942
#taipei,5.40625,5.7837701615,0.3775201614999997
taipei,6.161290323,5.7837701615,0.37752016150000056
#berlin,5.860465116,5.988372093000001,0.1279069770000003
berlin,6.11627907,5.988372093000001,0.12790697699999942
#architecture,6.581395349,6.731173865000001,0.14977851600000047
architecture,6.880952381,6.731173865000001,0.14977851599999958
blogs,5.465116279,5.265436705666667,0.19967957333333342
blog,5.526315789,5.265436705666667,0.2608790833333332
#blog,4.804878049,5.265436705666667,0.4605586566666666
#recommend,6.236842105,6.533055199,0.2962130939999996
recommend,6.829268293,6.533055199,0.2962130940000005
#norway,6.846153846,6.7951699465,0.05098389950000026
norway,6.744186047,6.7951699465,0.050983899499999374
star,6.425,7.0661585365,0.6411585364999999
stars,7.707317073,7.0661585365,0.6411585364999999
belgium,6.525,6.5958333335,0.07083333349999954
#belgium,6.666666667,6.5958333335,0.07083333350000043
#sale,7.051282051,6.6256410255,0.42564102550000005
sale,6.2,6.6256410255,0.42564102550000005
gems,6.65,6.6821428570000005,0.03214285700000019
gem,6.714285714,6.6821428570000005,0.0321428569999993
bags,5.625,5.543269231,0.08173076899999998
bag,5.461538462,5.543269231,0.08173076899999998
fashion,5.775,5.676973684,0.09802631600000034
#fashion,5.578947368,5.676973684,0.09802631600000034
holidays,7.860465116,7.791335791250001,0.06912932474999955
#holiday,7.951219512,7.791335791250001,0.15988372074999901
#holidays,7.5,7.791335791250001,0.29133579125000075
holiday,7.853658537,7.791335791250001,0.06232274574999952
season,6.627906977,6.728587635,0.10068065799999992
seasons,6.829268293,6.728587635,0.10068065799999992
#heritage,5.775,6.317732558,0.542732558
heritage,6.860465116,6.317732558,0.542732558
couples,6.372093023,6.7674418605,0.39534883750000027
couple,7.162790698,6.7674418605,0.39534883750000027
seattle,5.976744186,6.3488372095,0.37209302349999973
#seattle,6.720930233,6.3488372095,0.37209302349999973
enjoy,8.263157895,7.875764994000001,0.3873929010000001
#enjoy,7.488372093,7.875764994000001,0.387392901000001
break,6.153846154,6.042039356,0.11180679799999993
breaks,5.930232558,6.042039356,0.11180679799999993
california,6.615384615,6.7495527724999995,0.13416815749999955
#california,6.88372093,6.7495527724999995,0.13416815750000044
families,6.615384615,6.9749694746666675,0.35958485966666753
#family,7.69047619,6.9749694746666675,0.7155067153333325
family,6.619047619,6.9749694746666675,0.3559218556666677
bar,5.692307692,5.8937728934999996,0.20146520149999958
bars,6.095238095,5.8937728934999996,0.20146520150000047
#packing,5.459459459,5.3672297295,0.09222972949999964
packing,5.275,5.3672297295,0.09222972949999964
#india,4.829268293,5.2195121955,0.39024390249999996
india,5.609756098,5.2195121955,0.39024390249999996
amazing,8.476190476,8.0595238095,0.4166666664999994
#amazing,7.642857143,8.0595238095,0.4166666665000003
trips,7.380952381,7.548301956333333,0.16734957533333272
#trip,7.45,7.548301956333333,0.09830195633333272
trip,7.813953488,7.548301956333333,0.2656515316666672
ireland,7.785714286,7.6560150375,0.12969924850000059
#ireland,7.526315789,7.6560150375,0.1296992484999997
malaysia,4.857142857,5.226190476,0.3690476189999998
#malaysia,5.595238095,5.226190476,0.3690476189999998
#madrid,6.725,6.7527439025,0.02774390250000014
madrid,6.780487805,6.7527439025,0.02774390250000014
