commonWords length 187
top 20 movers
('hand', 2.8954857140000003)
('withdrawal', 2.784361905)
('ruins', 2.7374000000000005)
('delayed', 2.6250634149999996)
('credit', 2.5736)
('cancelled', 2.2739999999999996)
('lonely', 2.2509999999999994)
('lost', 2.0079906979999995)
('delay', 1.9166285709999993)
('crash', 1.9067999999999996)
('miss', 1.8981142859999993)
('hard', 1.878111628)
('stuck', 1.8644761899999995)
('missed', 1.8572390239999996)
('security', 1.7811441859999997)
('broke', 1.6874439019999992)
('low', 1.649765853999999)
('):', 1.6129894739999993)
('fab', 1.4897777779999997)
('attack', 1.4805951219999995)
